,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
676,Đất,Cần bán,Khánh Hòa,Huyện Cam Lâm,Xã Cam Thành Bắc,"Cầu Bắc, Xã Cam Thành Bắc, Huyện Cam Lâm, Khánh Hòa",750 triệu,10/05/2021,170m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
677,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Đình Nghi Xuân, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","1,1 tỷ",10/05/2021,40m²,,,2,2,Đã có sổ,Đăng nhập để xem,
678,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","2,75 tỷ",10/05/2021,33m²,,2,2,1,Đã có sổ,Đăng nhập để xem,
679,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","7,8 tỷ",10/05/2021,78m²,Tây Bắc,4,4,4,Đã có sổ,Đăng nhập để xem,
680,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,"140/30, Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",730 triệu,10/05/2021,22m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
681,Đất,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,"Hiệp Thành, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương","2,7 tỷ",10/05/2021,84m²,,,,,Đã có sổ,Đăng nhập để xem,
682,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 13,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh","3,75 tỷ",10/05/2021,49m²,,1,4,3,Đã có sổ,Đăng nhập để xem,
683,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,8 tỷ",10/05/2021,50m²,Đông Nam,3,4,3,Đã có sổ,Đăng nhập để xem,
684,Nhà,Cần bán,Long An,Thành phố Tân An,Xã Bình Tâm,"22, Đường Đinh Viết Cừu, Xã Bình Tâm, Thành phố Tân An, Long An","1,8 tỷ",10/05/2021,125m²,Đông Bắc,1,2,2,Đã có sổ,Đăng nhập để xem,
685,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"412D/8/4, Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,58m²,,,4,4,Đã có sổ,Đăng nhập để xem,
686,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"Đường 21, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","3,3 tỷ",10/05/2021,31m²,,,2,2,Đã có sổ,Đăng nhập để xem,
687,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",14 triệu/tháng,10/05/2021,76m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
688,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Bình Thủy,"Đường Đặng Văn Dầy, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ, Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ","2,4 tỷ",10/05/2021,99m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
689,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Quy,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",5 triệu/tháng,10/05/2021,25m²,,,1,1,,Đăng nhập để xem,
690,Nhà,Cần bán,Bình Thuận,Thành phố Phan Thiết,Phường Phú Trinh,"Đường Lê Duẩn, Phường Phú Trinh, Thành phố Phan Thiết, Bình Thuận","2,1 tỷ",10/05/2021,70m²,Nam,,2,1,Đã có sổ,Đăng nhập để xem,
691,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,"đường 30/4, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",680 triệu,10/05/2021,100m²,,,,,,Đăng nhập để xem,
692,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Nhuận Đức,"Đường Nhuận Đức, Xã Nhuận Đức, Huyện Củ Chi, Tp Hồ Chí Minh",5 tỷ,10/05/2021,770m²,,,,,Đang chờ sổ,Đăng nhập để xem,
693,Nhà,Cần bán,Khánh Hòa,Thành phố Nha Trang,Phường Phước Hải,"Đường A3, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa","3,2 tỷ",10/05/2021,64m²,Tây Nam,3,4,3,Đã có sổ,Đăng nhập để xem,
694,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Hắc Dịch,"Trần Phú, Phường Hắc Dịch, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","1,23 tỷ",10/05/2021,145m²,,,,,Đã có sổ,Đăng nhập để xem,
695,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,"Đường ĐT 749, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",620 triệu,10/05/2021,75m²,,,,,Đã có sổ,Đăng nhập để xem,
696,Nhà,Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Quy,"Đường 49, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",17 triệu/tháng,10/05/2021,80m²,,,3,4,,Đăng nhập để xem,
697,Nhà,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,"cách mạng tháng 8, Phường 10, Quận 3, Tp Hồ Chí Minh",6 tỷ,10/05/2021,81m²,,,2,2,,Đăng nhập để xem,
698,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","4,45 tỷ",10/05/2021,60m²,Tây,,5,5,Đã có sổ,Đăng nhập để xem,
699,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","13,4 tỷ",10/05/2021,115m²,,,7,5,Đã có sổ,Đăng nhập để xem,
700,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,52m²,,2,4,3,Đã có sổ,Đăng nhập để xem,
701,Đất,Cần bán,Tiền Giang,Thành phố Mỹ Tho,Xã Đạo Thạnh,"quảng trường, Xã Đạo Thạnh, Thành phố Mỹ Tho, Tiền Giang",650 triệu,10/05/2021,80m²,,,,,Đang chờ sổ,Đăng nhập để xem,
702,Đất,Cần bán,Lâm Đồng,Huyện Di Linh,Xã Gung Ré,"xã Gung Ré Di Linh Lâm Đồng, Xã Gung Ré, Huyện Di Linh, Lâm Đồng","2,1 tỷ",10/05/2021,6.051m²,,,,,Đã có sổ,Đăng nhập để xem,
703,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",12 tỷ,10/05/2021,72m²,,,4,,,Đăng nhập để xem,
704,Nhà,Cần bán,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Ngọc,"Đường Liên Hoa, Xã Vĩnh Ngọc, Thành phố Nha Trang, Khánh Hòa","4,9 tỷ",10/05/2021,342m²,Tây Bắc,2,5,3,Đã có sổ,Đăng nhập để xem,
705,Nhà,Cho thuê,Đà Nẵng,Quận Thanh Khê,Phường Thanh Khê Tây,"Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",4 triệu/tháng,10/05/2021,70m²,,,2,1,,Đăng nhập để xem,
706,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","14,1 tỷ",10/05/2021,100m²,,,,,,Đăng nhập để xem,
707,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","3,25 tỷ",10/05/2021,27m²,,,2,2,Đã có sổ,Đăng nhập để xem,
708,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"Đường Số 27, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","2,3 tỷ",10/05/2021,70m²,,,,,Đã có sổ,Đăng nhập để xem,
709,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Hòa,"26 Đường Đại Lộ Bình Dương, Khu phố 7, Phường Phú Hòa, Thủ Dầu Một, Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","1,35 tỷ",10/05/2021,44m²,Đông Bắc,,1,1,Đang chờ sổ,Đăng nhập để xem,
710,Đất,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,"Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,65 tỷ",10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
711,"Căn hộ, Chung cư",Cho thuê,Quảng Ninh,Thành phố Hạ Long,Phường Hùng Thắng,"A0315, Hoàng Quốc Việt, Phường Hùng Thắng, Thành phố Hạ Long, Quảng Ninh","5,5 triệu/tháng",10/05/2021,49m²,Đông Bắc,,1,1,Đang chờ sổ,Đăng nhập để xem,
712,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Lập,"Đường ĐT 741, Xã Tân Lập, Huyện Đồng Phú, Bình Phước",700 triệu,10/05/2021,125m²,,,,,Đã có sổ,Đăng nhập để xem,
713,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Lợi Đông,"10, 10 Đường Mai Chí Thọ, Phường An Lợi Đông, Quận 2, Tp Hồ Chí Minh","6,2 tỷ",10/05/2021,88m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
714,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,"Đường Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","8,5 tỷ",10/05/2021,80m²,,,6,,Đã có sổ,Đăng nhập để xem,
715,Nhà,Cần bán,Hà Nội,Quận Long Biên,Phường Thạch Bàn,"531, Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội","2,25 tỷ",10/05/2021,33m²,Nam,4,2,3,Đã có sổ,Đăng nhập để xem,
716,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phú,"Lô S10-2, Lô S10-2 Khu A - Đô thị Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",4 tỷ,10/05/2021,78m²,Tây,,2,2,Đã có sổ,Đăng nhập để xem,
717,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","2,9 tỷ",10/05/2021,56m²,,,4,3,,Đăng nhập để xem,
718,Đất,Cần bán,Quảng Nam,Thị xã Điện Bàn,Phường Điện Dương,"Khu đô thị Điện Ngọc - Điện Dương, Phường Điện Dương, Thị xã Điện Bàn, Quảng Nam",900 triệu,10/05/2021,105m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
719,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,"Đường Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh",873 triệu,10/05/2021,238m²,,,10,5,Đã có sổ,Đăng nhập để xem,
720,Đất,Cần bán,Cà Mau,Huyện Đầm Dơi,Xã Tân Thuận,"ngã tư ông rum , ấp thuận hoà b, Xã Tân Thuận, Huyện Đầm Dơi, Cà Mau",2 tỷ,10/05/2021,30m²,,,,,Đã có sổ,Đăng nhập để xem,
721,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","2,16 tỷ",10/05/2021,58m²,,,2,,,Đăng nhập để xem,
722,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 14,"Đường số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","16,5 triệu/tháng",10/05/2021,72m²,,,5,5,,Đăng nhập để xem,
723,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,"Đường Mã Lò, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","7,1 tỷ",10/05/2021,104m²,,,4,5,Đã có sổ,Đăng nhập để xem,
724,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 2,Phường Cát Lái,"Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh",3 triệu/tháng,10/05/2021,78m²,Đông Nam,,3,2,Giấy tờ khác,Đăng nhập để xem,
725,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,"Đường Số 28, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",22 triệu/tháng,10/05/2021,90m²,Tây,4,5,4,Đã có sổ,Đăng nhập để xem,
726,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Mỹ An,"40, Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","4,5 triệu/tháng",10/05/2021,50m²,,,2,1,,Đăng nhập để xem,
727,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",14 triệu/tháng,10/05/2021,54m²,Tây,2,6,3,,Đăng nhập để xem,
728,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",7 triệu/tháng,10/05/2021,60m²,Tây Nam,1,2,2,Đã có sổ,Đăng nhập để xem,
729,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 15,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","5,2 triệu/tháng",10/05/2021,35m²,,,1,1,Giấy tờ khác,Đăng nhập để xem,
730,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Hoá An,"hoành minh chánh, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai","1,79 tỷ",10/05/2021,215m²,Nam,,4,4,Đã có sổ,Đăng nhập để xem,
731,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Trảng Dài,"chưa có, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai","2,2 tỷ",10/05/2021,115m²,Đông,,3,1,Đã có sổ,Đăng nhập để xem,
732,Nhà,Cần bán,Hồ Chí Minh,Quận 10,Phường 12,"Đường Thành Thái, Phường 12, Quận 10, Tp Hồ Chí Minh","14,7 tỷ",10/05/2021,68m²,,,5,4,Đã có sổ,Đăng nhập để xem,
733,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",19 tỷ,10/05/2021,250m²,,,5,6,Đã có sổ,Đăng nhập để xem,
734,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","6,9 tỷ",10/05/2021,44m²,,,4,4,Đã có sổ,Đăng nhập để xem,
735,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã An Phước,"Đường Quốc Lộ 51, Xã An Phước, Huyện Long Thành, Đồng Nai",800 triệu,10/05/2021,132m²,,,,,,Đăng nhập để xem,
736,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,"Đường Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","1,8 tỷ",10/05/2021,398m²,,,,,Đã có sổ,Đăng nhập để xem,
737,Nhà,Cần bán,Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,"d 24, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương","1,35 tỷ",10/05/2021,150m²,,,5,5,Giấy tờ khác,Đăng nhập để xem,
738,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Đa Phước,"quốc Lộ 50, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","1,85 tỷ",10/05/2021,80m²,,,2,2,Đã có sổ,Đăng nhập để xem,
739,Đất,Cần bán,Đồng Nai,Huyện Vĩnh Cửu,Xã Phú Lý,"chưa có, Xã Phú Lý, Huyện Vĩnh Cửu, Đồng Nai",15 tỷ,10/05/2021,50.000m²,,,,,Đã có sổ,Đăng nhập để xem,
740,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 10,"Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,60m²,,,4,3,,Đăng nhập để xem,
741,"Căn hộ, Chung cư",Cần bán,Đà Nẵng,Quận Sơn Trà,Phường Phước Mỹ,"120-122 võ nguyên giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng","2,8 tỷ",10/05/2021,58m²,Tây Nam,,1,1,Đang chờ sổ,Đăng nhập để xem,
742,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","15,5 triệu/tháng",10/05/2021,56m²,Bắc,1,2,2,Đã có sổ,Đăng nhập để xem,
743,Đất,Cần bán,Tiền Giang,Huyện Gò Công Tây,Xã Bình Nhì,"ấp bình hoà đông, Xã Bình Nhì, Huyện Gò Công Tây, Tiền Giang",500 triệu,10/05/2021,146m²,,,,,Đã có sổ,Đăng nhập để xem,
744,Nhà,Cần bán,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","2,38 tỷ",10/05/2021,28m²,,,3,4,Đã có sổ,Đăng nhập để xem,
745,Đất,Cần bán,An Giang,Thành phố Long Xuyên,Phường Bình Khánh,"TL 943, Phường Bình Khánh, Thành phố Long Xuyên, An Giang",880 triệu,10/05/2021,650m²,,,,,Đã có sổ,Đăng nhập để xem,
746,Đất,Cần bán,Quảng Ninh,Thành phố Uông Bí,Phường Yên Thanh,"Đường Quốc lộ 18A,  phường Yên Thanh, thành phố Uông Bí, Quảng Ninh, Phường Yên Thanh, Thành phố Uông Bí, Quảng Ninh",2 tỷ,10/05/2021,100m²,Bắc,,,,Đã có sổ,Đăng nhập để xem,
747,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 15,"Đường Bến Bình Đông, Phường 15, Quận 8, Tp Hồ Chí Minh","2,05 tỷ",10/05/2021,20m²,,,2,2,,Đăng nhập để xem,
748,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","2,05 tỷ",10/05/2021,59m²,,,2,1,Đang chờ sổ,Đăng nhập để xem,
749,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 8,Phường 6,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,75m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
750,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,"Đường 339, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","7,9 tỷ",10/05/2021,148m²,Đông Bắc,,3,3,Đã có sổ,Đăng nhập để xem,
751,Nhà,Cho thuê,Hồ Chí Minh,Quận 2,Phường An Phú,"3B, Đường Bùi Tá Hán, Phường An Phú, Quận 2, Tp Hồ Chí Minh",58 triệu/tháng,10/05/2021,500m²,,,4,,Đã có sổ,Đăng nhập để xem,
752,Nhà,Cần bán,Hà Nội,Quận Hà Đông,Phường Kiến Hưng,"Đường Hà Trì 3, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","2,52 tỷ",10/05/2021,33m²,,,4,,Đã có sổ,Đăng nhập để xem,
753,Nhà,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình An,"Đường 39, Phường Bình An, Quận 2, Tp Hồ Chí Minh",35 tỷ,10/05/2021,158m²,,3,4,4,Đã có sổ,Đăng nhập để xem,
754,Đất,Cần bán,Hậu Giang,Huyện Châu Thành,Thị trấn Mái Dầm,"Đường Nam Sông Hậu, Thị trấn Mái Dầm, Huyện Châu Thành, Hậu Giang",750 triệu,10/05/2021,82m²,,,,,Đã có sổ,Đăng nhập để xem,
755,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,"Đường Phạm Thế Hiển, Phường 4, Quận 8, Tp Hồ Chí Minh","1,1 tỷ",10/05/2021,39m²,,,2,2,Đã có sổ,Đăng nhập để xem,
756,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 3,"Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh","9,8 tỷ",10/05/2021,90m²,,,4,4,Đã có sổ,Đăng nhập để xem,
757,Nhà,Cần bán,Cần Thơ,Huyện Thới Lai,Thị trấn Thới Lai,"Đường Số 10, Thị trấn Thới Lai, Huyện Thới Lai, Cần Thơ","4,15 tỷ",10/05/2021,85m²,,,3,2,Đã có sổ,Đăng nhập để xem,
758,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 10,"thống nhất, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,58m²,,,6,5,,Đăng nhập để xem,
759,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,2 tỷ",10/05/2021,120m²,,,3,3,Đã có sổ,Đăng nhập để xem,
760,Đất,Cần bán,Đồng Nai,Huyện Thống Nhất,Xã Lộ 25,"Đường ĐT 769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai",750 triệu,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
761,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Thị trấn Long Thành,"Đường Quốc Lộ 51, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",1 tỷ,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
762,Nhà,Cần bán,Bình Thuận,Thành phố Phan Thiết,Xã Tiến Thành,"Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận, Xã Tiến Thành, Thành phố Phan Thiết, Bình Thuận","5,8 tỷ",10/05/2021,120m²,,,3,3,,Đăng nhập để xem,
763,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,"Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",720 triệu,10/05/2021,80m²,,,,,Đã có sổ,Đăng nhập để xem,
764,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Hòa,"Đường Phạm Văn Đồng, Phường Tân Hòa, Thành phố Buôn Ma Thuột, Đắk Lắk","1,18 tỷ",10/05/2021,140m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
765,"Căn hộ, Chung cư",Cần bán,Nghệ An,Thành phố Vinh,Phường Vinh Tân,"Đường Hồ Xuân Hương, Phường Vinh Tân, Thành phố Vinh, Nghệ An",977 triệu,10/05/2021,79m²,,,2,2,Đã có sổ,Đăng nhập để xem,
766,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,48 tỷ",10/05/2021,32m²,Đông,,2,,Đã có sổ,Đăng nhập để xem,
767,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Trường,"Đường Số 1, Phường Long Trường, Quận 9, Tp Hồ Chí Minh","3,68 tỷ",10/05/2021,88m²,,,,,Đã có sổ,Đăng nhập để xem,
768,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lập,"Võ Thị Sáu, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk","1,79 tỷ",10/05/2021,98m²,Tây Nam,1,3,2,Đã có sổ,Đăng nhập để xem,
769,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường 385, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",15 tỷ,10/05/2021,300m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
770,Đất,Cần bán,Bình Dương,Thành phố Thuận An,Phường An Phú,"Đường Liên Huyện, Phường An Phú, Thành phố Thuận An, Bình Dương",835 triệu,10/05/2021,105m²,,,,,Đã có sổ,Đăng nhập để xem,
771,Đất,Cần bán,Bình Dương,Huyện Bắc Tân Uyên,Xã Bình Mỹ,"Đường ĐT 742, Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",810 triệu,10/05/2021,80m²,,,,,,Đăng nhập để xem,
772,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Lộc An,"Đường 769, Xã Lộc An, Huyện Long Thành, Đồng Nai","1,6 tỷ",10/05/2021,110m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
773,Nhà,Cần bán,Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","3,45 tỷ",10/05/2021,36m²,Đông Nam,6,5,4,Đã có sổ,Đăng nhập để xem,
774,"Căn hộ, Chung cư",Cho thuê,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Lợi,"Đường D2, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương","4,5 triệu/tháng",10/05/2021,42m²,,,1,1,Đã có sổ,Đăng nhập để xem,
775,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","5,3 tỷ",10/05/2021,93m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
